post_id	date	section	label	url	link	review_status
18	2026-01-25 09:00:00	0	OnePlus Buds 4	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-254.htm	https://s.click.aliexpress.com/e/_c4VolHP5	unreviewed_link_not_product
18	2026-01-25 09:00:00	1	кабель с тремя головками Type-C	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-254.htm	https://s.click.aliexpress.com/e/_c3iwfLqL	unreviewed_link_not_product
18	2026-01-25 09:00:00	2	Портативный водонепроницаемый спальный мешок	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-254.htm	https://s.click.aliexpress.com/e/_c3D8RtEL	unreviewed_link_not_product
18	2026-01-25 09:00:00	3	Удобные органайзеры	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-254.htm	https://s.click.aliexpress.com/e/_c4eLeEwP	unreviewed_link_not_product
18	2026-01-25 09:00:00	3	вот неплохой вариант	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-254.htm	https://s.click.aliexpress.com/e/_c2R0XiiB	unreviewed_link_not_product
18	2026-01-25 09:00:00	4	вместительные рюкзаки	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-254.htm	https://s.click.aliexpress.com/e/_c3NUYyLt	unreviewed_link_not_product
18	2026-01-25 09:00:00	5	Аромадиффузор	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-254.htm	https://s.click.aliexpress.com/e/_c2Qukyc7	unreviewed_link_not_product
18	2026-01-25 09:00:00	6	продвинутый зарядный адаптер Asometech	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-254.htm	https://s.click.aliexpress.com/e/_c34FXiIB	unreviewed_link_not_product
18	2026-01-25 09:00:00	7	Тонкий и легкий рюкзачок	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-254.htm	https://s.click.aliexpress.com/e/_c2uAlort	unreviewed_link_not_product
18	2026-01-25 09:00:00	8	HONOR Pad X9a	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-254.htm	https://s.click.aliexpress.com/e/_c3zVQfYn	unreviewed_link_not_product
90	2026-01-11 09:00:00	0	скручиваемый кабель Type-C UGREEN	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-253.htm	https://s.click.aliexpress.com/e/_c3QTbRpN	unreviewed_link_not_product
90	2026-01-11 09:00:00	1	SZUK C012MAX	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-253.htm	https://s.click.aliexpress.com/e/_c4DVEeyn	unreviewed_link_not_product
90	2026-01-11 09:00:00	2	хлопковые носки компании HSS	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-253.htm	https://s.click.aliexpress.com/e/_c3y32upv	unreviewed_link_not_product
90	2026-01-11 09:00:00	3	мышку Logitech M720	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-253.htm	https://s.click.aliexpress.com/e/_c2R7Ag7V	unreviewed_link_not_product
90	2026-01-11 09:00:00	4	проливных заварочных чайников KAMJOVE	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-253.htm	https://s.click.aliexpress.com/e/_c4tK58rl	unreviewed_link_not_product
90	2026-01-11 09:00:00	5	ILIFE A30 PRO	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-253.htm	https://s.click.aliexpress.com/e/_c4bM3crz	unreviewed_link_not_product
90	2026-01-11 09:00:00	6	смартфон POCO F7	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-253.htm	https://s.click.aliexpress.com/e/_c33FCkdp	unreviewed_link_not_product
90	2026-01-11 09:00:00	7	стяжки для кабелей	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-253.htm	https://s.click.aliexpress.com/e/_c3JLVEjl	unreviewed_link_not_product
90	2026-01-11 09:00:00	8	Разноцветные беруши	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-253.htm	https://s.click.aliexpress.com/e/_c32MPBir	unreviewed_link_not_product
136	2026-01-04 09:00:00	1	UGREEN Qi2.2 25W MagFlow 10000 мАч	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-252.htm	https://s.click.aliexpress.com/e/_c3yTGlyJ	unreviewed_link_not_product
10021	2026-06-14 09:00:00	0	UGREEN Nexode 500W 6-port	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-273.htm	https://s.click.aliexpress.com/e/_c3uJCZxJ	unreviewed_link_not_product
10021	2026-06-14 09:00:00	0	отдельная ссылка	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-273.htm	https://www.aliexpress.com/item/1005009100541527.html	unreviewed_link_not_product
10021	2026-06-14 09:00:00	1	Vention 5000 мАч, 20 Вт (PD)	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-273.htm	https://s.click.aliexpress.com/e/_c3CPmQoN	unreviewed_link_not_product
10021	2026-06-14 09:00:00	2	кухонный таймер	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-273.htm	https://s.click.aliexpress.com/e/_c3PQZiFx	unreviewed_link_not_product
10021	2026-06-14 09:00:00	3	видеорегистратора DDPai A400	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-273.htm	https://s.click.aliexpress.com/e/_c4TVAySZ	unreviewed_link_not_product
